Metric;Path;Package;Class;LineNo;Value;ClassType;Violation
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.SettingItemAdapter;0;35;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.CustomizeVibeDialog$show$seekBarListener$1;0;18;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.SettingItemAdapter$SettingItemViewHolder;0;112;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/overlay/OverlayWindowController.kt;com.android.synclab.glimpse.infra.overlay;com.android.synclab.glimpse.infra.overlay.OverlayWindowController;0;70;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/state/MonitoringStateStore.kt;com.android.synclab.glimpse.data.state;com.android.synclab.glimpse.data.state.MonitoringStateStore;0;10;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control$Indicator;0;1;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.SettingItemUiModel$Control;0;2;INTERFACE;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.ChargingIconView$GlowLayerView;0;85;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerLightCommandResult.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.ControllerLightCommandResult;0;7;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.CustomizeVibeDialog$Companion;0;4;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/GlimpseToggleView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.GlimpseToggleView$Companion;0;3;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/GlimpseToggleView.kt;com.android.synclab.glimpse.presentation.view;com.android.synclab.glimpse.presentation.view.GlimpseToggleView;0;133;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/notification/MonitoringNotificationController.kt;com.android.synclab.glimpse.infra.notification;com.android.synclab.glimpse.infra.notification.MonitoringNotificationController;0;74;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetPrimaryGamepadBatteryUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.GetPrimaryGamepadBatteryUseCase;0;7;CLASS;N
