Metric;Path;Entity;Value;LineNo;Violation
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;component4;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;getNote;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;component1;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;w;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;e;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;w;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;isDebugBuild;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;d;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;i;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;e;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/infra/input/InputDeviceGateway.kt;unregisterInputDeviceListener;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/infra/input/InputDeviceGateway.kt;registerInputDeviceListener;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/infra/input/InputDeviceGateway.kt;getInputDevices;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/infra/input/InputDeviceGateway.kt;isInputManagerAvailable;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetConnectedPs4ControllersUseCase.kt;invoke;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;create;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;batteryStatusLabel;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;isDiagnosticInputDeviceLoggingEnabled;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;maskIdentifier;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;handleControllerProfileState;5;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;renderSettingItems;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;shouldRequestNotificationPermission;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;logInputDeviceCallback;5;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;setupToolbarMenu;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;onResume;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;ensureForegroundPermissions;4;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;updateBatteryUi;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;showConfigDialog;13;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;requestControllerRefresh;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;persistControllerProfile;2;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;onPause;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;handleBluetoothPermissionResult;4;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;startMonitoring;3;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;dpToPx;1;0;N
CC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;updateControllerUniqueIdUi;1;0;N
