Type;FromPath;FromClass;FromEntity;FromLineNo;Relations;ToPath;ToClass;ToEntity;ToClassType;ToLineNo
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;buildControllerUniqueId;121;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;com.android.synclab.glimpse.data.model.ControllerInfo;getProductId;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;updateState;154;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState;getControllerDescriptor;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;111;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState;getControllerDescriptor;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;updateState;156;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState;isMonitoringEnabled;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;61;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/infra/input/InputDeviceGateway.kt;com.android.synclab.glimpse.infra.input.InputDeviceGateway;isInputManagerAvailable;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;syncServiceState;130;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/MonitoringStateProvider.kt;com.android.synclab.glimpse.base.contracts.MonitoringStateProvider;isMonitoringEnabled;INTERFACE;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;95;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;com.android.synclab.glimpse.data.model.ControllerInfo;getDescriptor;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;93;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;com.android.synclab.glimpse.data.model.ControllerInfo;getBatteryStatus;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;95;CALLS;/home/huy/android-sdk/platforms/android-36/android.jar;java.lang.Object;toString;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;112;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState;getControllerName;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;buildControllerUniqueId;118;CALLS;/home/huy/android-sdk/platforms/android-36/android.jar;java.lang.CharSequence;length;INTERFACE;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;MainViewModel;20;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState;MainUiState;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;110;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState;getControllerUniqueId;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;maskIdentifier;171;CALLS;/home/huy/.gradle/caches/modules-2/files-2.1/org.jetbrains.kotlin/kotlin-stdlib/2.0.21/618b539767b4899b4660a83006e052b63f1db551/kotlin-stdlib-2.0.21.jar;kotlin.text.StringsKt___StringsKt;takeLast;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;109;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;com.android.synclab.glimpse.data.model.ControllerInfo;getBatteryStatus;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;maskIdentifier;171;CALLS;/home/huy/android-sdk/platforms/android-36/android.jar;java.lang.String;length;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;refreshControllerInfo;95;CALLS;/home/huy/android-sdk/platforms/android-36/android.jar;java.lang.CharSequence;length;INTERFACE;0
