Type;Signature;Path;LineNo
UNUSED_CLASS_METHOD;getEntries;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
UNUSED_FUNCTION_PARAMETER;animated;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/BatteryProgressView.kt;128
UNUSED_CLASS_METHOD;valueOf;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
UNUSED_CLASS_METHOD;onProgressChanged;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_METHOD;getLastStatusText;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;REQUEST_CODE_POST_NOTIFICATIONS;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_CLASS_METHOD;component1;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerLightCommandResult.kt;0
UNUSED_CLASS_METHOD;component3;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
UNUSED_CLASS_METHOD;areContentsTheSame;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;0
UNUSED_CLASS_METHOD;values;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
UNUSED_CLASS_METHOD;ChargingIconView;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/ChargingIconView.kt;0
UNUSED_CLASS_METHOD;component4;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
UNUSED_LOCAL_VARIABLE;$i$a$-let-MainActivity$showCustomizeVibeDialog$1;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_CLASS_METHOD;getTimestampMs;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;$VALUES;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
UNUSED_CLASS_DATA_MEMBER;receiver;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;0
UNUSED_CLASS_DATA_MEMBER;this$0;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_CLASS_DATA_MEMBER;onDismiss;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;$ENTRIES;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;0
UNUSED_CLASS_METHOD;component7;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
UNUSED_CLASS_METHOD;invoke;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;0
UNUSED_FUNCTION_PARAMETER;$marker;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;3
UNUSED_CLASS_METHOD;onStartTrackingTouch;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_DATA_MEMBER;$blueValueText;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_DATA_MEMBER;repository;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/DeleteControllerProfileUseCase.kt;0
UNUSED_LOCAL_VARIABLE;$i$a$-apply-MonitoringNotificationController$ensureChannel$channel$1;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/notification/MonitoringNotificationController.kt;32
UNUSED_CLASS_METHOD;component2;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
UNUSED_FUNCTION_PARAMETER;$marker;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;26
UNUSED_CLASS_METHOD;values;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
UNUSED_LOCAL_VARIABLE;$i$a$-let-MainActivity$showCustomizeVibeDialog$dialog$1$1;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_LOCAL_VARIABLE;$i$a$-getOrElse-CustomizeVibeDialog$sendColorToController$1$result$2;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;200
UNUSED_FUNCTION_PARAMETER;$marker;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;22
UNUSED_CLASS_METHOD;component8;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
UNUSED_CLASS_DATA_MEMBER;receiver;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_LOCAL_VARIABLE;$i$a$-logDiagnosticDebug-GamepadRepositoryImpl$closeControllerLightSessionInternal$session$1$1;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;425
UNUSED_CLASS_DATA_MEMBER;getControllerProfileUseCase;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_CLASS_METHOD;setTitle;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingsPanelView.kt;0
UNUSED_CLASS_DATA_MEMBER;$colorPreview;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_DATA_MEMBER;$previewDrawable;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;0
UNUSED_CLASS_METHOD;getLightName;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;0
UNUSED_FUNCTION_PARAMETER;seekBar;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/CustomizeVibeDialog.kt;89
UNUSED_CLASS_METHOD;onInputDeviceAdded;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_FUNCTION_PARAMETER;$constructor_marker;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/di/AppContainer.kt;0
UNUSED_CLASS_METHOD;invoke;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_CLASS_METHOD;onBindViewHolder;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/view/SettingItemAdapter.kt;0
