RelationType;FromEntity;FromPath;FromLine;ToEntity;ToPath;FromClass;ToClass;RelationCount;FromModule>ToModule;Key;Violation
READS;setOnViewModelChange;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;33;SYSTEM;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.EventChangeParam$Source;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
READS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;91;CONNECTED;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
READS;setOnViewModelChange;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;32;VIEW_ATTACHED;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
READS;syncServiceState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;135;SERVICE_STATE_SYNCED;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
READS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;102;CONTROLLER_INFO_UPDATED;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
CALLS;updateState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;149;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;106;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;51;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
READS;updateState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;149;INSTANCE;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
READS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;51;INSTANCE;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
READS;refreshControllerInfo;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;106;INSTANCE;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;onCreate;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;116;i;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;handleControllerProfileState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;770;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;requestControllerRefresh;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;612;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;handleControllerProfileState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;762;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;requestOverlayPermission;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;482;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;onRequestPermissionsResult;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;227;w;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
CALLS;logInputDeviceCallback;app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;670;d;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.presentation.MainActivity;com.android.synclab.glimpse.utils.LogCompat;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation>app/src/main/kotlin/com/android/synclab/glimpse/utils;3;N
