FunctionName;FunctionSignature;Ploc;Bloc;FullPath;LineNo
component2;com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType component2();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
toString;String toString();18;17;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
EventChangeParam;void EventChangeParam(com.android.synclab.glimpse.presentation.model.MainUiState, com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType, com.android.synclab.glimpse.presentation.model.EventChangeParam$Source, String, long);7;7;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
getState;com.android.synclab.glimpse.presentation.model.MainUiState getState();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
copy;com.android.synclab.glimpse.presentation.model.EventChangeParam copy(com.android.synclab.glimpse.presentation.model.MainUiState, com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType, com.android.synclab.glimpse.presentation.model.EventChangeParam$Source, String, long);7;7;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
getTimestampMs;long getTimestampMs();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
getSource;com.android.synclab.glimpse.presentation.model.EventChangeParam$Source getSource();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
equals;boolean equals(Object);18;17;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
getEventType;com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType getEventType();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
component4;String component4();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
getNote;String getNote();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
component1;com.android.synclab.glimpse.presentation.model.MainUiState component1();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
w;void w(String, Throwable);3;3;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;0
e;void e(String, Throwable);3;3;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;0
w;void w(String);3;3;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;0
LogCompat;void LogCompat();35;28;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;0
isDebugBuild;boolean isDebugBuild();1;1;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;0
